"id_sector","tot_per_cen","opp_cen","opa_cen","temp_cen","desop","const_cen","tot_viv_cen","id_prov","dpa_despro","dpa_descan","dpa_despar","tot_viv_prec","tot_per_prec","ocup_prec","temp_prec","desop_prec","const_prec","colec_prec","id_can","id_par"
"030150001001",494,147,0,13,21,5,186,"03","CAÑAR","AZOGUES","AZOGUES",140,376,105,12,19,4,0,"0301","030150"
"030150001002",452,132,2,19,29,2,184,"03","CAÑAR","AZOGUES","AZOGUES",162,408,110,25,22,5,0,"0301","030150"
"030150001003",407,116,1,16,28,2,163,"03","CAÑAR","AZOGUES","AZOGUES",149,446,122,6,15,6,0,"0301","030150"
"030150001004",338,97,1,7,17,5,127,"03","CAÑAR","AZOGUES","AZOGUES",117,336,84,8,19,5,1,"0301","030150"
"030150001005",671,174,1,12,49,7,243,"03","CAÑAR","AZOGUES","AZOGUES",231,587,159,18,46,8,0,"0301","030150"
"030150001006",291,79,0,8,19,0,106,"03","CAÑAR","AZOGUES","AZOGUES",101,277,80,8,9,4,0,"0301","030150"
"030150001007",304,88,1,11,12,4,116,"03","CAÑAR","AZOGUES","AZOGUES",107,268,77,7,19,4,0,"0301","030150"
"030150001008",290,90,5,5,33,2,135,"03","CAÑAR","AZOGUES","AZOGUES",121,269,80,4,32,5,0,"0301","030150"
"030150002001",312,82,3,16,23,3,127,"03","CAÑAR","AZOGUES","AZOGUES",115,313,80,17,16,2,0,"0301","030150"
"030150002002",261,82,1,14,14,4,115,"03","CAÑAR","AZOGUES","AZOGUES",101,261,76,8,12,5,0,"0301","030150"
"030150002003",298,84,0,11,14,2,111,"03","CAÑAR","AZOGUES","AZOGUES",106,304,78,5,17,6,0,"0301","030150"
"030150002004",309,100,2,4,18,2,126,"03","CAÑAR","AZOGUES","AZOGUES",124,340,98,7,16,3,0,"0301","030150"
"030150002005",549,152,1,12,18,5,188,"03","CAÑAR","AZOGUES","AZOGUES",178,489,141,14,16,7,0,"0301","030150"
"030150002006",331,96,1,21,23,9,150,"03","CAÑAR","AZOGUES","AZOGUES",137,350,102,9,14,12,0,"0301","030150"
"030150002007",250,75,0,4,21,1,101,"03","CAÑAR","AZOGUES","AZOGUES",87,215,63,7,13,3,1,"0301","030150"
"030150003001",358,118,0,11,18,4,151,"03","CAÑAR","AZOGUES","AZOGUES",143,397,116,2,19,6,0,"0301","030150"
"030150003002",371,100,0,15,19,3,137,"03","CAÑAR","AZOGUES","AZOGUES",138,399,109,8,17,4,0,"0301","030150"
"030150003003",342,94,0,16,25,1,136,"03","CAÑAR","AZOGUES","AZOGUES",122,354,92,4,18,8,0,"0301","030150"
"030150003004",554,169,0,14,37,9,229,"03","CAÑAR","AZOGUES","AZOGUES",214,527,150,15,41,8,0,"0301","030150"
"030150003005",273,84,0,13,32,4,133,"03","CAÑAR","AZOGUES","AZOGUES",126,319,86,6,20,14,0,"0301","030150"
"030150003006",505,155,1,13,47,1,217,"03","CAÑAR","AZOGUES","AZOGUES",207,505,154,24,27,2,0,"0301","030150"
"030150003007",159,46,0,5,15,1,67,"03","CAÑAR","AZOGUES","AZOGUES",64,180,50,1,13,0,0,"0301","030150"
"030150003008",304,89,2,7,13,1,112,"03","CAÑAR","AZOGUES","AZOGUES",104,296,84,9,10,1,0,"0301","030150"
"030150003009",290,93,1,8,22,2,126,"03","CAÑAR","AZOGUES","AZOGUES",124,311,92,13,18,0,1,"0301","030150"
"030150003010",376,113,0,13,45,6,177,"03","CAÑAR","AZOGUES","AZOGUES",167,430,126,5,35,1,0,"0301","030150"
"030150003011",414,137,0,11,50,3,201,"03","CAÑAR","AZOGUES","AZOGUES",184,448,136,12,31,5,0,"0301","030150"
"030150004001",285,82,5,13,28,8,136,"03","CAÑAR","AZOGUES","AZOGUES",150,324,97,16,24,13,0,"0301","030150"
"030150004002",365,109,2,15,27,7,160,"03","CAÑAR","AZOGUES","AZOGUES",158,391,108,15,25,10,0,"0301","030150"
"030150004003",256,80,0,14,18,3,115,"03","CAÑAR","AZOGUES","AZOGUES",118,272,86,12,13,7,0,"0301","030150"
"030150004004",278,75,0,5,14,5,99,"03","CAÑAR","AZOGUES","AZOGUES",98,304,75,8,10,5,0,"0301","030150"
"030150004005",449,123,0,16,25,2,166,"03","CAÑAR","AZOGUES","AZOGUES",161,437,127,12,19,3,0,"0301","030150"
"030150004006",312,102,0,17,29,2,150,"03","CAÑAR","AZOGUES","AZOGUES",155,422,118,7,23,7,0,"0301","030150"
"030150004007",397,108,0,16,19,1,144,"03","CAÑAR","AZOGUES","AZOGUES",129,311,91,17,17,3,1,"0301","030150"
"030150004008",331,110,1,10,37,6,164,"03","CAÑAR","AZOGUES","AZOGUES",147,353,112,10,23,2,0,"0301","030150"
"030150004009",266,81,2,9,24,2,118,"03","CAÑAR","AZOGUES","AZOGUES",113,287,83,2,24,4,0,"0301","030150"
"030150004010",208,69,2,7,15,1,94,"03","CAÑAR","AZOGUES","AZOGUES",95,244,74,4,14,2,1,"0301","030150"
"030150004011",306,88,1,14,9,3,115,"03","CAÑAR","AZOGUES","AZOGUES",112,279,81,15,14,2,0,"0301","030150"
"030150004012",416,121,3,17,35,5,181,"03","CAÑAR","AZOGUES","AZOGUES",177,461,121,13,33,10,0,"0301","030150"
"030150004013",365,120,3,8,37,5,173,"03","CAÑAR","AZOGUES","AZOGUES",159,354,113,9,32,5,0,"0301","030150"
"030150005001",358,118,1,21,43,1,184,"03","CAÑAR","AZOGUES","AZOGUES",175,375,117,9,46,1,2,"0301","030150"
"030150005002",202,74,1,13,34,0,122,"03","CAÑAR","AZOGUES","AZOGUES",131,218,70,31,29,1,0,"0301","030150"
"030150005003",303,100,1,18,33,2,154,"03","CAÑAR","AZOGUES","AZOGUES",149,346,109,10,26,3,1,"0301","030150"
"030150005004",177,63,4,15,34,1,117,"03","CAÑAR","AZOGUES","AZOGUES",130,219,73,12,42,1,2,"0301","030150"
"030150005005",246,78,3,17,40,0,138,"03","CAÑAR","AZOGUES","AZOGUES",153,258,83,15,51,1,3,"0301","030150"
"030150005006",227,77,2,11,37,8,135,"03","CAÑAR","AZOGUES","AZOGUES",147,257,86,15,42,3,1,"0301","030150"
"030150005007",258,95,0,16,43,0,154,"03","CAÑAR","AZOGUES","AZOGUES",171,188,64,15,91,1,0,"0301","030150"
"030150005008",149,46,0,12,37,0,95,"03","CAÑAR","AZOGUES","AZOGUES",102,157,49,9,42,1,1,"0301","030150"
"030150005009",112,38,0,15,39,0,92,"03","CAÑAR","AZOGUES","AZOGUES",104,127,37,11,56,0,0,"0301","030150"
"030150006001",415,128,7,21,32,3,191,"03","CAÑAR","AZOGUES","AZOGUES",180,483,135,19,14,12,0,"0301","030150"
